No.,级别,语法项目,类别,细目,语法内容
128,二级,口语格式,该……了,,
129,二级,口语格式,要/快要/就要……了,,
130,三级,语素,前缀,第-、老-、小-,
131,三级,语素,后缀,-儿、-家、-们、-头、-子,
132,三级,词类,动词,能愿动词,
133,三级,词类,动词,能愿动词,敢
134,三级,词类,动词,离合词,需要
135,三级,词类,动词,离合词,动宾式离合词：帮忙、点头、放假、干杯、见面、结婚、看病、睡觉、洗澡、理发、说话
136,三级,词类,代词,疑问代词,动补式离合词：打开、看见、离开、完成
137,三级,词类,代词,指示代词,"疑问代词的非疑问用法 
（1）任指用法 
①疑问代词+都……②疑问代词……疑问代词……（2）不定指用法"
138,三级,词类,量词,名量词,各、各位、各种、每、任何
139,三级,词类,量词,动量词,把、行、架、群、束、双、台、张、支、只、种
140,三级,词类,量词,量词重叠,顿、口、眼
141,三级,词类,副词,程度副词,量词重叠：AA
142,三级,词类,副词,范围、协同副词,比较、更加、还3、相当
143,三级,词类,副词,时间副词,光、仅、仅仅、就3、至少
144,三级,词类,副词,频率、重复副词,本来、才2、曾经、从来、赶紧、赶快、立刻、连忙、始终、已、早已
145,三级,词类,副词,关联副词,通常、往往、总、总是
146,三级,词类,副词,方式副词,再2
147,三级,词类,副词,情态副词,互相、尽量、亲自、相互
148,三级,词类,副词,语气副词,大概、恐怕
149,三级,词类,介词,引出时间、处所,白、并1、当然、到底、反正、根本、果然、简直、绝对、难道、其实、千万、确实、只好、终于
150,三级,词类,介词,引出时间、处所,由1
151,三级,词类,介词,引出方向、路径,自从
152,三级,词类,介词,引出对象,朝
153,三级,词类,介词,引出对象,为2
154,三级,词类,介词,引出目的、原因,向2
155,三级,词类,介词,引出目的、原因,由于1、因为
156,三级,词类,介词,引出施事、受事,为了
157,三级,词类,介词,表示排除,把、被、叫、让
158,三级,词类,介词,引出凭借、依据,除了
159,三级,词类,连词,连接分句或句子,按、按照
160,三级,词类,拟声词,哈哈,并且、不光、不仅、另外、要是、因此、由于2、只有
161,三级,短语,结构类型,其他结构类型,
162,三级,短语,结构类型,数量重叠：数词+量词+数词+量词,其他结构类型2：（1）介宾短语（2）方位短语（3）兼语短语（4）同位短语
163,三级,短语,固定短语,四字格,
164,三级,短语,固定短语,其他,不A不B
165,三级,短语,固定短语,其他,看起来
166,三级,短语,固定短语,其他,看上去
167,三级,固定格式,除了……（以外），……还/也/都……,,有的是
168,三级,固定格式,从……起,,
169,三级,固定格式,对……来说,,
170,三级,固定格式,一……也/都+不/没……,,
171,三级,固定格式,越……越……,,
172,三级,句子成分,主语,动词或动词性短语、形容词或形容词性短语作主语,
173,三级,句子成分,宾语,动词或动词性短语、形容词或形容词性短语和主谓短语作宾语,
174,三级,句子成分,定语,动词或动词性短语、主谓短语作定语,
175,三级,句子成分,补语,结果补语,
176,三级,句子成分,补语,趋向补语,结果补语2：动词+到/住/走
